iter	Passed	Remaining
0	3	3672
1	7	3532
2	10	3595
3	16	4021
4	19	3957
5	24	4059
6	29	4129
7	33	4143
8	37	4095
9	41	4060
10	45	4095
11	50	4183
12	54	4140
13	58	4130
14	63	4196
15	67	4138
16	70	4086
17	73	4023
18	78	4043
19	82	4026
20	85	3982
21	88	3932
22	92	3932
23	96	3934
24	99	3893
25	103	3859
26	105	3819
27	110	3844
28	114	3821
29	117	3795
30	120	3766
31	125	3807
32	131	3839
33	133	3805
34	137	3802
35	142	3827
36	147	3833
37	150	3814
38	153	3793
39	159	3819
40	163	3822
41	167	3824
42	175	3902
43	179	3892
44	183	3891
45	188	3902
46	193	3925
47	197	3921
48	201	3906
49	207	3940
50	211	3932
51	215	3923
52	219	3922
53	223	3915
54	226	3891
55	229	3867
56	232	3846
57	237	3857
58	240	3842
59	244	3823
60	246	3800
61	252	3813
62	255	3795
63	258	3774
64	260	3753
65	264	3737
66	268	3734
67	271	3718
68	274	3700
69	277	3683
70	280	3665
71	284	3662
72	287	3653
73	290	3638
74	293	3616
75	296	3602
76	299	3591
77	302	3575
78	305	3559
79	308	3543
80	311	3528
81	314	3521
82	317	3508
83	320	3493
84	323	3478
85	326	3469
86	330	3465
87	333	3455
88	336	3443
89	339	3431
90	342	3419
91	346	3415
92	349	3406
93	352	3397
94	355	3386
95	358	3375
96	362	3375
97	365	3364
98	368	3353
99	371	3342
100	374	3332
101	378	3328
102	380	3317
103	383	3305
104	386	3296
105	389	3287
106	393	3284
107	396	3275
108	399	3266
109	402	3257
110	405	3248
111	409	3243
112	412	3236
113	415	3227
114	418	3218
115	421	3210
116	424	3206
117	427	3198
118	430	3189
119	434	3186
120	437	3181
121	441	3176
122	444	3168
123	447	3160
124	450	3153
125	454	3153
126	458	3149
127	461	3142
128	464	3138
129	468	3135
130	472	3132
131	475	3126
132	478	3120
133	481	3113
134	485	3109
135	488	3105
136	491	3098
137	494	3091
138	498	3084
139	502	3084
140	505	3079
141	508	3071
142	511	3067
143	514	3061
144	518	3056
145	521	3049
146	524	3042
147	527	3034
148	529	3026
149	533	3022
150	536	3016
151	539	3008
152	542	3001
153	545	2995
154	549	2995
155	552	2989
156	555	2983
157	558	2977
158	562	2973
159	565	2971
160	569	2965
161	572	2958
162	575	2952
163	578	2946
164	581	2942
165	584	2937
166	587	2928
167	590	2924
168	593	2919
169	597	2916
170	600	2911
171	603	2905
172	606	2899
173	609	2892
174	612	2888
175	615	2882
176	618	2877
177	621	2871
178	624	2864
179	628	2861
180	631	2857
181	634	2851
182	637	2845
183	640	2840
184	644	2837
185	647	2832
186	650	2827
187	653	2823
188	656	2818
189	660	2815
190	663	2810
191	666	2805
192	669	2801
193	673	2797
194	676	2792
195	679	2787
196	682	2783
197	685	2778
198	690	2780
199	694	2776
200	697	2771
201	700	2766
202	703	2761
203	708	2764
204	711	2760
205	715	2755
206	717	2750
207	723	2753
208	726	2749
209	729	2743
210	732	2738
211	735	2734
212	739	2731
213	742	2727
214	745	2722
215	748	2717
216	753	2719
217	756	2714
218	759	2709
219	762	2705
220	765	2699
221	769	2697
222	772	2692
223	775	2687
224	778	2682
225	781	2677
226	785	2674
227	788	2670
228	791	2666
229	794	2661
230	797	2654
231	801	2651
232	804	2646
233	807	2642
234	809	2636
235	812	2630
236	816	2628
237	819	2623
238	822	2618
239	825	2613
240	828	2609
241	832	2606
242	835	2601
243	838	2597
244	841	2591
245	844	2586
246	847	2584
247	850	2580
248	853	2575
249	857	2571
250	860	2566
251	863	2563
252	866	2558
253	869	2553
254	872	2548
255	875	2543
256	878	2541
257	881	2536
258	885	2532
259	888	2527
260	891	2523
261	895	2521
262	898	2516
263	901	2512
264	904	2508
265	908	2508
266	912	2504
267	915	2500
268	918	2495
269	921	2491
270	924	2488
271	928	2484
272	931	2479
273	934	2475
274	937	2471
275	941	2469
276	944	2466
277	948	2462
278	951	2458
279	954	2453
280	958	2451
281	961	2448
282	964	2444
283	967	2440
284	971	2437
285	975	2434
286	978	2430
287	982	2429
288	985	2424
289	990	2425
290	993	2421
291	997	2418
292	1000	2413
293	1006	2416
294	1009	2413
295	1012	2407
296	1015	2403
297	1020	2404
298	1023	2400
299	1027	2396
300	1030	2392
301	1033	2387
302	1035	2381
303	1039	2379
304	1042	2374
305	1045	2370
306	1048	2365
307	1053	2366
308	1056	2362
309	1059	2357
310	1062	2354
311	1066	2352
312	1070	2350
313	1073	2346
314	1076	2342
315	1079	2337
316	1083	2333
317	1086	2330
318	1089	2325
319	1092	2321
320	1095	2316
321	1098	2313
322	1101	2309
323	1104	2305
324	1107	2300
325	1110	2296
326	1113	2292
327	1117	2288
328	1120	2284
329	1122	2279
330	1125	2275
331	1128	2270
332	1131	2267
333	1135	2263
334	1138	2259
335	1140	2254
336	1144	2251
337	1147	2247
338	1150	2243
339	1153	2238
340	1156	2234
341	1159	2230
342	1162	2226
343	1165	2222
344	1168	2218
345	1171	2214
346	1174	2210
347	1176	2205
348	1179	2201
349	1182	2196
350	1185	2192
351	1188	2188
352	1191	2183
353	1194	2179
354	1197	2175
355	1200	2171
356	1204	2168
357	1207	2165
358	1210	2161
359	1213	2157
360	1216	2153
361	1219	2149
362	1223	2146
363	1226	2142
364	1229	2138
365	1232	2134
366	1235	2130
367	1238	2127
368	1241	2123
369	1244	2118
370	1247	2114
371	1250	2111
372	1254	2108
373	1257	2104
374	1260	2100
375	1263	2096
376	1267	2094
377	1270	2090
378	1274	2087
379	1277	2083
380	1280	2079
381	1283	2076
382	1286	2073
383	1290	2069
384	1293	2065
385	1296	2062
386	1299	2059
387	1303	2055
388	1306	2052
389	1309	2048
390	1312	2044
391	1315	2041
392	1319	2037
393	1322	2034
394	1325	2030
395	1328	2026
396	1332	2023
397	1335	2020
398	1338	2016
399	1341	2012
400	1344	2008
401	1347	2005
402	1351	2002
403	1354	1998
404	1357	1994
405	1360	1990
406	1364	1987
407	1367	1984
408	1370	1980
409	1373	1976
410	1376	1972
411	1379	1969
412	1383	1965
413	1386	1961
414	1389	1958
415	1392	1955
416	1396	1951
417	1398	1947
418	1401	1944
419	1404	1939
420	1408	1937
421	1412	1934
422	1415	1930
423	1417	1926
424	1420	1922
425	1424	1920
426	1428	1916
427	1431	1912
428	1434	1909
429	1437	1905
430	1441	1902
431	1444	1898
432	1447	1895
433	1450	1891
434	1453	1887
435	1456	1884
436	1460	1881
437	1463	1877
438	1466	1873
439	1469	1869
440	1472	1866
441	1475	1862
442	1478	1858
443	1481	1855
444	1484	1851
445	1487	1848
446	1490	1844
447	1494	1840
448	1497	1837
449	1499	1833
450	1503	1830
451	1506	1826
452	1510	1823
453	1513	1819
454	1516	1815
455	1519	1812
456	1522	1809
457	1525	1805
458	1528	1801
459	1531	1797
460	1534	1794
461	1537	1790
462	1540	1787
463	1543	1783
464	1546	1779
465	1550	1776
466	1553	1773
467	1556	1769
468	1559	1765
469	1562	1762
470	1565	1758
471	1569	1755
472	1572	1751
473	1575	1748
474	1578	1744
475	1582	1741
476	1584	1737
477	1587	1734
478	1590	1730
479	1593	1726
480	1596	1723
481	1599	1719
482	1602	1715
483	1605	1711
484	1608	1708
485	1611	1704
486	1614	1701
487	1617	1697
488	1620	1693
489	1623	1689
490	1626	1685
491	1629	1682
492	1632	1678
493	1635	1675
494	1638	1671
495	1640	1667
496	1644	1664
497	1647	1660
498	1650	1656
499	1652	1652
500	1655	1648
501	1658	1644
502	1661	1641
503	1665	1638
504	1668	1635
505	1671	1631
506	1674	1627
507	1677	1624
508	1680	1621
509	1683	1617
510	1686	1613
511	1689	1610
512	1692	1607
513	1695	1603
514	1698	1599
515	1701	1595
516	1704	1592
517	1707	1588
518	1710	1585
519	1713	1581
520	1716	1577
521	1719	1574
522	1722	1570
523	1725	1567
524	1728	1563
525	1731	1559
526	1734	1556
527	1737	1553
528	1741	1550
529	1745	1547
530	1748	1544
531	1751	1540
532	1757	1539
533	1760	1536
534	1764	1533
535	1766	1529
536	1770	1526
537	1773	1523
538	1777	1520
539	1780	1516
540	1784	1513
541	1787	1510
542	1791	1508
543	1795	1505
544	1798	1501
545	1802	1498
546	1806	1496
547	1810	1493
548	1813	1489
549	1816	1485
550	1820	1483
551	1823	1479
552	1826	1476
553	1829	1472
554	1834	1471
555	1837	1467
556	1839	1463
557	1842	1459
558	1844	1455
559	1847	1451
560	1851	1448
561	1856	1446
562	1859	1443
563	1862	1439
564	1866	1436
565	1869	1433
566	1872	1429
567	1875	1426
568	1878	1422
569	1881	1419
570	1885	1416
571	1889	1413
572	1892	1410
573	1896	1407
574	1900	1404
575	1903	1400
576	1905	1397
577	1909	1393
578	1912	1390
579	1916	1387
580	1919	1384
581	1922	1380
582	1925	1377
583	1928	1373
584	1932	1370
585	1935	1367
586	1938	1363
587	1941	1360
588	1944	1357
589	1948	1354
590	1951	1350
591	1954	1347
592	1958	1343
593	1962	1341
594	1965	1337
595	1968	1334
596	1971	1331
597	1975	1328
598	1979	1324
599	1982	1321
600	1985	1317
601	1988	1314
602	1991	1311
603	1995	1308
604	1998	1304
605	2001	1301
606	2003	1297
607	2007	1294
608	2010	1291
609	2013	1287
610	2017	1284
611	2019	1280
612	2023	1277
613	2027	1274
614	2030	1270
615	2033	1267
616	2036	1263
617	2040	1261
618	2043	1257
619	2046	1254
620	2049	1251
621	2053	1247
622	2056	1244
623	2060	1241
624	2062	1237
625	2065	1234
626	2070	1232
627	2073	1228
628	2076	1225
629	2080	1221
630	2083	1218
631	2086	1214
632	2091	1212
633	2094	1209
634	2097	1205
635	2100	1202
636	2104	1199
637	2107	1195
638	2110	1192
639	2114	1189
640	2117	1185
641	2121	1182
642	2124	1179
643	2127	1176
644	2130	1172
645	2133	1169
646	2137	1166
647	2140	1162
648	2143	1159
649	2146	1156
650	2149	1152
651	2152	1149
652	2155	1145
653	2158	1142
654	2161	1138
655	2165	1135
656	2168	1132
657	2171	1128
658	2174	1125
659	2177	1121
660	2180	1118
661	2183	1115
662	2186	1111
663	2189	1108
664	2192	1104
665	2196	1101
666	2199	1098
667	2202	1094
668	2205	1091
669	2208	1087
670	2211	1084
671	2215	1081
672	2218	1077
673	2221	1074
674	2224	1070
675	2228	1067
676	2231	1064
677	2233	1060
678	2236	1057
679	2239	1054
680	2243	1050
681	2246	1047
682	2249	1044
683	2252	1040
684	2255	1037
685	2259	1034
686	2262	1030
687	2265	1027
688	2268	1024
689	2271	1020
690	2275	1017
691	2278	1014
692	2281	1010
693	2284	1007
694	2287	1003
695	2290	1000
696	2293	997
697	2296	993
698	2299	990
699	2302	986
700	2306	983
701	2309	980
702	2312	976
703	2315	973
704	2318	970
705	2321	966
706	2325	963
707	2328	960
708	2331	956
709	2334	953
710	2338	950
711	2341	947
712	2344	943
713	2347	940
714	2350	937
715	2354	933
716	2361	932
717	2367	929
718	2372	927
719	2377	924
720	2385	922
721	2391	920
722	2394	917
723	2398	914
724	2401	911
725	2406	908
726	2409	904
727	2412	901
728	2416	898
729	2419	894
730	2422	891
731	2425	888
732	2428	884
733	2431	881
734	2435	878
735	2438	874
736	2441	871
737	2444	867
738	2447	864
739	2450	861
740	2454	857
741	2458	854
742	2463	852
743	2466	848
744	2469	845
745	2472	841
746	2475	838
747	2479	835
748	2482	832
749	2486	828
750	2490	825
751	2494	822
752	2497	819
753	2501	816
754	2504	812
755	2507	809
756	2510	805
757	2514	802
758	2517	799
759	2520	796
760	2523	792
761	2527	789
762	2531	786
763	2534	782
764	2537	779
765	2540	776
766	2545	773
767	2548	769
768	2551	766
769	2554	763
770	2557	759
771	2562	756
772	2565	753
